12/09/12			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		919		344		188		318		553		0		0
	2		919		346		188		317		483		0		0
	3		920		355		186		287		418		0		0
	4		920		357		181		273		529		0		0
	5		921		357		180		310		464		0		0
	6		920		355		180		326		236		0		0
	7		919		356		180		328		174		3		0
	8		914		328		180		329		137		132		0
	9		907		315		179		341		104		329		0
	10		906		314		176		335		104		599		33
	11		905		312		176		334		98		748		53
	12		904		313		177		350		101		783		23
	13		904		310		177		356		99		771		35
	14		908		313		178		347		125		674		36
	15		911		314		177		339		183		467		50
	16		913		312		179		341		208		198		53
	17		913		313		179		335		236		28		1
	18		913		310		179		355		458		10		0
	19		914		308		180		395		349		11		0
	20		913		323		182		355		372		6		0
	21		913		339		182		354		395		2		0
	22		913		339		182		352		470		0		0
	23		916		339		181		335		588		0		0
	24		916		342		183		335		312		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		2320		2256		8445		6734		1585				
	2		2251		2259		7544		6782		1535				
	3		2163		2260		7116		6981		1565				
	4		2258		2258		6906		6855		1617				
	5		2229		2260		6899		6902		1588				
	6		2014		2259		7043		7120		1618				
	7		1958		2256		7059		7399		1916				
	8		2006		2256		7560		7229		2157				
	9		2160		2255		8004		7759		2096				
	10		2452		2253		8152		7844		2202				
	11		2615		2255		8146		7946		2163				
	12		2644		2253		8052		7917		2257				
	13		2647		2251		8353		7601		2212				
	14		2582		2251		8316		7853		1993				
	15		2442		2252		8224		8123		1986				
	16		2203		2254		8657		8238		2037				
	17		2003		2257		10038		8352		2361				
	18		2216		2258		12347		8834		2968				
	19		2154		2257		13120		8714		2949				
	20		2151		2259		12856		8942		2678				
	21		2185		2259		12624		8601		2462				
	22		2254		2258		11260		8706		2230				
	23		2356		2258		9876		8047		1864				
	24		2084		2258		8603		7619		1686				
